Week,State,Average Cases1,Average Cases,Tests Conducted,Test_Kit
26 Aug – 31 Aug,Labuan,114.2857143,114,149,PCR
26 Aug – 31 Aug,Labuan,114.2857143,114,368,Both
29 Jul – 4 Aug,Labuan,290.5714286,291,427,RTK-AG
29 Jul – 4 Aug,Labuan,290.5714286,291,139,PCR
29 Jul – 4 Aug,Labuan,290.5714286,291,566,Both
5 Aug – 11 Aug,Labuan,184.4285714,184,293,RTK-AG
5 Aug – 11 Aug,Labuan,184.4285714,184,208,PCR
5 Aug – 11 Aug,Labuan,184.4285714,184,501,Both
8 Jul – 14 Jul,Labuan,1995.571429,1996,841,RTK-AG
8 Jul – 14 Jul,Labuan,1995.571429,1996,192,PCR
8 Jul – 14 Jul,Labuan,1995.571429,1996,1033,Both
1 Jul – 7 Jul,Melaka,459.2857143,459,1008,RTK-AG
1 Jul – 7 Jul,Melaka,459.2857143,459,2292,PCR
1 Jul – 7 Jul,Melaka,459.2857143,459,3300,Both
12 Aug – 18 Aug,Melaka,1784.285714,1784,2131,RTK-AG
12 Aug – 18 Aug,Melaka,1784.285714,1784,3018,PCR
12 Aug – 18 Aug,Melaka,1784.285714,1784,5149,Both
15 Jul – 21 Jul,Melaka,1007.571429,1008,1518,RTK-AG
15 Jul – 21 Jul,Melaka,1007.571429,1008,3417,PCR
15 Jul – 21 Jul,Melaka,1007.571429,1008,4935,Both
19 Aug – 25 Aug,Melaka,1295,1295,1620,RTK-AG
19 Aug – 25 Aug,Melaka,1295,1295,2386,PCR
19 Aug – 25 Aug,Melaka,1295,1295,4006,Both
22 Jul – 28 Jul,Melaka,1205.428571,1205,1935,RTK-AG
22 Jul – 28 Jul,Melaka,1205.428571,1205,2761,PCR
22 Jul – 28 Jul,Melaka,1205.428571,1205,4696,Both
26 Aug – 31 Aug,Melaka,205.2857143,205,1628,RTK-AG
26 Aug – 31 Aug,Melaka,205.2857143,205,1495,PCR
26 Aug – 31 Aug,Melaka,205.2857143,205,3123,Both
29 Jul – 4 Aug,Melaka,1421.857143,1422,1953,RTK-AG
29 Jul – 4 Aug,Melaka,1421.857143,1422,2873,PCR
29 Jul – 4 Aug,Melaka,1421.857143,1422,4826,Both
5 Aug – 11 Aug,Melaka,1439.714286,1440,2230,RTK-AG
5 Aug – 11 Aug,Melaka,1439.714286,1440,2260,PCR
5 Aug – 11 Aug,Melaka,1439.714286,1440,4490,Both
8 Jul – 14 Jul,Melaka,753,753,1463,RTK-AG
8 Jul – 14 Jul,Melaka,753,753,2906,PCR
8 Jul – 14 Jul,Melaka,753,753,4369,Both
1 Jul – 7 Jul,Negeri Sembilan,215.5714286,216,2024,RTK-AG
1 Jul – 7 Jul,Negeri Sembilan,215.5714286,216,3709,PCR
1 Jul – 7 Jul,Negeri Sembilan,215.5714286,216,5733,Both
12 Aug – 18 Aug,Negeri Sembilan,1072.142857,1072,2649,RTK-AG
12 Aug – 18 Aug,Negeri Sembilan,1072.142857,1072,2290,PCR
12 Aug – 18 Aug,Negeri Sembilan,1072.142857,1072,4939,Both
15 Jul – 21 Jul,Negeri Sembilan,207.8571429,208,2664,RTK-AG
15 Jul – 21 Jul,Negeri Sembilan,207.8571429,208,4519,PCR
15 Jul – 21 Jul,Negeri Sembilan,207.8571429,208,7183,Both
19 Aug – 25 Aug,Negeri Sembilan,1306,1306,2440,RTK-AG
19 Aug – 25 Aug,Negeri Sembilan,1306,1306,2009,PCR
19 Aug – 25 Aug,Negeri Sembilan,1306,1306,4449,Both
22 Jul – 28 Jul,Negeri Sembilan,271.7142857,272,3246,RTK-AG
22 Jul – 28 Jul,Negeri Sembilan,271.7142857,272,4275,PCR
22 Jul – 28 Jul,Negeri Sembilan,271.7142857,272,7521,Both
26 Aug – 31 Aug,Negeri Sembilan,1618.571429,1619,2151,RTK-AG
26 Aug – 31 Aug,Negeri Sembilan,1618.571429,1619,1203,PCR
26 Aug – 31 Aug,Negeri Sembilan,1618.571429,1619,3354,Both
29 Jul – 4 Aug,Negeri Sembilan,467.7142857,468,2908,RTK-AG
29 Jul – 4 Aug,Negeri Sembilan,467.7142857,468,3041,PCR
29 Jul – 4 Aug,Negeri Sembilan,467.7142857,468,5949,Both
5 Aug – 11 Aug,Negeri Sembilan,680.2857143,680,2388,RTK-AG
5 Aug – 11 Aug,Negeri Sembilan,680.2857143,680,2253,PCR
5 Aug – 11 Aug,Negeri Sembilan,680.2857143,680,4641,Both
8 Jul – 14 Jul,Negeri Sembilan,188.1428571,188,2299,RTK-AG
8 Jul – 14 Jul,Negeri Sembilan,188.1428571,188,4929,PCR
8 Jul – 14 Jul,Negeri Sembilan,188.1428571,188,7228,Both
1 Jul – 7 Jul,Pahang,1806.142857,1806,1809,RTK-AG
1 Jul – 7 Jul,Pahang,1806.142857,1806,2631,PCR
1 Jul – 7 Jul,Pahang,1806.142857,1806,4440,Both
12 Aug – 18 Aug,Pahang,122.8571429,123,2392,RTK-AG
12 Aug – 18 Aug,Pahang,122.8571429,123,5062,PCR
12 Aug – 18 Aug,Pahang,122.8571429,123,7454,Both
15 Jul – 21 Jul,Pahang,1583.857143,1584,2270,RTK-AG
15 Jul – 21 Jul,Pahang,1583.857143,1584,3346,PCR
15 Jul – 21 Jul,Pahang,1583.857143,1584,5616,Both
19 Aug – 25 Aug,Pahang,115,115,2419,RTK-AG
19 Aug – 25 Aug,Pahang,115,115,4730,PCR
19 Aug – 25 Aug,Pahang,115,115,7149,Both
22 Jul – 28 Jul,Pahang,309.5714286,310,2650,RTK-AG
22 Jul – 28 Jul,Pahang,309.5714286,310,3544,PCR
22 Jul – 28 Jul,Pahang,309.5714286,310,6194,Both
26 Aug – 31 Aug,Pahang,158.2857143,158,1999,RTK-AG
26 Aug – 31 Aug,Pahang,158.2857143,158,3759,PCR
26 Aug – 31 Aug,Pahang,158.2857143,158,5758,Both
29 Jul – 4 Aug,Pahang,245,245,2403,RTK-AG
29 Jul – 4 Aug,Pahang,245,245,3699,PCR
29 Jul – 4 Aug,Pahang,245,245,6102,Both
5 Aug – 11 Aug,Pahang,172.7142857,173,2677,RTK-AG
5 Aug – 11 Aug,Pahang,172.7142857,173,4320,PCR
5 Aug – 11 Aug,Pahang,172.7142857,173,6997,Both
8 Jul – 14 Jul,Pahang,1850.142857,1850,2172,RTK-AG
8 Jul – 14 Jul,Pahang,1850.142857,1850,3166,PCR
8 Jul – 14 Jul,Pahang,1850.142857,1850,5338,Both
1 Jul – 7 Jul,Penang,224.5714286,225,3865,RTK-AG
1 Jul – 7 Jul,Penang,224.5714286,225,1347,PCR
1 Jul – 7 Jul,Penang,224.5714286,225,5212,Both
12 Aug – 18 Aug,Penang,1143.428571,1143,8726,RTK-AG
12 Aug – 18 Aug,Penang,1143.428571,1143,4193,PCR
12 Aug – 18 Aug,Penang,1143.428571,1143,12919,Both
15 Jul – 21 Jul,Penang,683,683,4120,RTK-AG
15 Jul – 21 Jul,Penang,683,683,2294,PCR
15 Jul – 21 Jul,Penang,683,683,6414,Both
19 Aug – 25 Aug,Penang,241.1428571,1241,8629,RTK-AG
19 Aug – 25 Aug,Penang,241.1428571,1241,3889,PCR
19 Aug – 25 Aug,Penang,241.1428571,1241,12518,Both
22 Jul – 28 Jul,Penang,962.5714286,963,5539,RTK-AG
22 Jul – 28 Jul,Penang,962.5714286,963,2902,PCR
22 Jul – 28 Jul,Penang,962.5714286,963,8441,Both
26 Aug – 31 Aug,Penang,157.2857143,1157,6679,RTK-AG
26 Aug – 31 Aug,Penang,157.2857143,1157,3045,PCR
26 Aug – 31 Aug,Penang,157.2857143,1157,9724,Both
29 Jul – 4 Aug,Penang,1185.857143,1186,6506,RTK-AG
29 Jul – 4 Aug,Penang,1185.857143,1186,3357,PCR
29 Jul – 4 Aug,Penang,1185.857143,1186,9863,Both
5 Aug – 11 Aug,Penang,1258.428571,1258,6635,RTK-AG
5 Aug – 11 Aug,Penang,1258.428571,1258,3495,PCR
5 Aug – 11 Aug,Penang,1258.428571,1258,10130,Both
8 Jul – 14 Jul,Penang,407.1428571,407,2486,RTK-AG
8 Jul – 14 Jul,Penang,407.1428571,407,1934,PCR
8 Jul – 14 Jul,Penang,407.1428571,407,4420,Both
1 Jul – 7 Jul,Perak,178.2857143,178,1519,RTK-AG
